FileName,ClassName,Category,Type,HasExampleMethod,FilePath
AuditChangeEntryDto.cs,AuditChangeEntryDto,Audit,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/Audit/AuditChangeEntryDto.cs
AuditEventDto.cs,AuditEventDto,Audit,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/Audit/AuditEventDto.cs
BalanceByAge.cs,BalanceByAge,YearEnd,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/YearEnd/Frozen/BalanceByAge.cs
BalanceByAgeDetail.cs,BalanceByAgeDetail,YearEnd,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/YearEnd/Frozen/BalanceByAgeDetail.cs
BalanceByBase.cs,BalanceByBase,YearEnd,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/YearEnd/Frozen/BalanceByBase.cs
BalanceByDetailBase.cs,BalanceByDetailBase,YearEnd,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/YearEnd/Frozen/BalanceByDetailBase.cs
BalanceByYears.cs,BalanceByYears,YearEnd,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/YearEnd/Frozen/BalanceByYears.cs
BalanceByYearsDetail.cs,BalanceByYearsDetail,YearEnd,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/YearEnd/Frozen/BalanceByYearsDetail.cs
BalanceEndpointResponse.cs,BalanceEndpointResponse,Root,Response,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/BalanceEndpointResponse.cs
BeneficiaryDetailResponse.cs,BeneficiaryDetailResponse,Beneficiaries,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/Beneficiaries/BeneficiaryDetailResponse.cs
BeneficiaryDto.cs,BeneficiaryDto,Beneficiaries,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/Beneficiaries/BeneficiaryDto.cs
BeneficiaryReportDto.cs,BeneficiaryReportDto,Root,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/BeneficiaryReportDto.cs
BeneficiaryResponse.cs,BeneficiaryResponse,Beneficiaries,Response,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Response/Beneficiaries/BeneficiaryResponse.cs
